date,equity
2025-06-01,149995
2025-06-02,149219
2025-06-03,149219
2025-06-04,149219
2025-06-05,149381
2025-06-06,149381
2025-06-07,149381
2025-06-08,149381
2025-06-09,149381
2025-06-10,149381
2025-06-11,149337
2025-06-12,149337
2025-06-13,146543
2025-06-14,146543
2025-06-15,146543
2025-06-16,146543
2025-06-17,152399
2025-06-18,151261
2025-06-19,151173
2025-06-20,157679
2025-06-21,157679
2025-06-22,157679
2025-06-23,156995
2025-06-24,156995
2025-06-25,156995
2025-06-26,156995
2025-06-27,156995
2025-06-28,156995
2025-06-29,156995
2025-06-30,157151
2025-07-01,164361
2025-07-02,168767
2025-07-03,168767
2025-07-04,166571
2025-07-05,166571
2025-07-06,166571
2025-07-07,167477
2025-07-08,167477
2025-07-09,175532
